n_train,p,interm_lvl,shape_fixed,net_structure,hidden_fct,p_drop,intermediate_q_feature,L2_pen,shape_penalty,Train_loss,Valid_loss,learning_rate,n_epochs,lr_decay,patience_decay,min_lr,patience_stop,orthogonal_gpd
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,0,0,3.92053881287575,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,0,0,3.90768340975046,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,0,0,3.91492377966642,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,0,0,3.90666808187962,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,0,0,3.90759643167257,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,0,0,3.88880245387554,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,0,0,3.88561897724867,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,0,0,3.88942964375019,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,0,0,3.86819957941771,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,0,0,3.93019492179155,3.9153396487236,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,0,0,3.91253662109375,3.90317749977112,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,0,0,3.91992143541574,3.90485280752182,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,0,0,3.91613221168518,3.904933989048,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,0,0,3.91767546534538,3.90924793481827,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,0,0,3.89649924635887,3.93605655431747,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,0,0,3.88264130800962,3.95603328943253,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,0,0,3.90619207918644,3.91719180345535,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,0,0,3.86240564286709,4.03508543968201,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,1e-06,0,3.92053148150444,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,1e-06,0,3.90771414339542,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,1e-06,0,3.91496796905994,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,1e-06,0,3.90614283829927,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h_10h,tanh,0,TRUE,1e-06,0,3.90761198848486,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,64h_64h_64h,tanh,0,TRUE,1e-06,0,3.89012989401817,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,128h_128h_128h,tanh,0,TRUE,1e-06,0,3.88563088327646,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,32h_32h_32h_32h,tanh,0,TRUE,1e-06,0,3.89214610308409,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,256h_256h_256h_256h,tanh,0,TRUE,1e-06,0,3.87356544286013,NaN,0.001,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,5h_3h_3h,tanh,0,TRUE,1e-06,0,3.92574217915535,3.91148048639297,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,20h_10h,tanh,0,TRUE,1e-06,0,3.91253190487623,3.9031902551651,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_5h_5h,tanh,0,TRUE,1e-06,0,3.92030598223209,3.90520322322845,1e-04,1000,0.4,5,1e-05,20,TRUE
15750,9,0.8,TRUE,10h_10h_10h,tanh,0,TRUE,1e-06,0,3.91631978005171,3.90467256307602,1e-04,1000,0.4,5,1e-05,20,TRUE
